SORTEREN;Wegbeheerder;Name (verplicht) - max 63 karakters;DescriptiveName (optioneel) - max 63 karakters;Alias (optioneel) - max 255 karakters;Latitude;Longitude;TLC/Inters.;RoadRegulatorID;IntersectionID;TlcIdentifier;UniqueID;Volg-Id;(wordt) iVRI;VRA ID;TLC;ITS applicatie;RIS;UC3;UC4;UC5.1;UC5.2;;
3101000261;Almelo;K3036;Weezebeeksingel - Windmolenbroeksweg - Soeteman;;52,3402850;6,6377940;Intersection;31010;261;;;261;;;;;;;;;;;
3101000270;Almelo;iV3047;Weezebeeksingel-Zilvermeeuw-Woonboulevard;;52,3392100;6,6424760;TLC;31010;;7922010E;47C5F149-C8EE-4CB5-AFF1-C4B32263E7C0;270;Ja;;Dynniq;Sweco;Sweco;Ja;Ja;Ja;Ja;;
3101000271;Almelo;K3047;Weezebeeksingel-Zilvermeeuw-Woonboulevard;;52,3393130;6,6429970;Intersection;31010;271;;;271;;;;;;;;;;;
3101000280;Almelo;iV3048;Weezebeeksingel - Wiekslagen - Stadionlaan;;52,3377630;6,6480470;TLC;31010;;79220118;C010D7EF-936A-4E38-B7F6-7F107A01324F;280;Ja;;Dynniq;Sweco;Sweco;Ja;Ja;Ja;Ja;;
3101000281;Almelo;K3048;Weezebeeksingel - Wiekslagen - Stadionlaan;;52,3379190;6,6483110;Intersection;31010;281;;;281;;;;;;;;;;;
3101000290;Almelo;iV3061;Wierdensestraat-Almelosestraat;;52,3534180;6,6104150;TLC;31010;;79220122;9E5E1A4E-36BC-4F64-BF9B-264D01E5E550;290;Ja;;Vialis;Sweco;Sweco;Ja;Ja;Ja;Ja;;
3101000291;Almelo;K3061;Wierdensestraat-Almelosestraat;;52,3535810;6,6103050;Intersection;31010;291;;;291;;;;;;;;;;;
3101100010;Almere;ALM-1022-TLC;Noorderdreef /Paal. ;;52,3499170;5,2180380;TLC;31011;;7923000A;FB9280AE-8C5B-4EF0-92D7-6244A3FB4BBE;10;Ja;VT450604;Vialis;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100011;Almere;ALM-1022;Noorderdreef /Paal. ;;52,3499170;5,2180380;Intersection;31011;11;;;11;;;;;;;;;;;
3101100020;Almere;ALM-1023-TLC;Steigerdreef – Noorderdreef.;;52,3478020;5,2198190;TLC;31011;;79230014;F05E3294-303F-4F3C-87C6-3CA69A2321D6;20;Ja;;;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100021;Almere;ALM-1023;Steigerdreef – Noorderdreef.;;52,3478020;5,2198190;Intersection;31011;21;;;21;;;;;;;;;;;
3101100030;Almere;ALM-1024-TLC;Steigerdreef – de Steiger;;52,3497880;5,2256160;TLC;31011;;7923001E;49815F1D-5F62-44E9-9958-FCF195B951CF;30;Ja;;;Vialis;Vialis;Ja;Ja;Ja;Ja;;
3101100031;Almere;ALM-1024;Steigerdreef – de Steiger;;52,3497880;5,2256160;Intersection;31011;31;;;31;;;;;;;;;;;
